Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,18-11-2025,10:23:01,0:24:05,0.00,154,,,,,314,,,,,,,,,,"5000m row
time: 19:31 min
341 cals
pace: 1010-1050 cals/hour",None,None,182,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:01:00,85,,,,,,,,,
,00:01:01,85,,,,,,,,,
,00:01:02,85,,,,,,,,,
,00:01:03,84,,,,,,,,,
,00:01:04,84,,,,,,,,,
,00:01:05,83,,,,,,,,,
,00:01:06,84,,,,,,,,,
,00:01:07,84,,,,,,,,,
,00:01:08,84,,,,,,,,,
,00:01:09,84,,,,,,,,,
,00:01:10,83,,,,,,,,,
,00:01:11,83,,,,,,,,,
,00:01:12,83,,,,,,,,,
,00:01:13,83,,,,,,,,,
,00:01:14,84,,,,,,,,,
,00:01:15,84,,,,,,,,,
,00:01:16,83,,,,,,,,,
,00:01:17,83,,,,,,,,,
,00:01:18,83,,,,,,,,,
,00:01:19,82,,,,,,,,,
,00:01:20,82,,,,,,,,,
,00:01:21,81,,,,,,,,,
,00:01:22,81,,,,,,,,,
,00:01:23,80,,,,,,,,,
,00:01:24,79,,,,,,,,,
,00:01:25,78,,,,,,,,,
,00:01:26,76,,,,,,,,,
,00:01:27,75,,,,,,,,,
,00:01:28,73,,,,,,,,,
,00:01:29,72,,,,,,,,,
,00:01:30,71,,,,,,,,,
,00:01:31,70,,,,,,,,,
,00:01:32,70,,,,,,,,,
,00:01:33,69,,,,,,,,,
,00:01:34,68,,,,,,,,,
,00:01:35,69,,,,,,,,,
,00:01:36,69,,,,,,,,,
,00:01:37,70,,,,,,,,,
,00:01:38,70,,,,,,,,,
,00:01:39,71,,,,,,,,,
,00:01:40,71,,,,,,,,,
,00:01:41,71,,,,,,,,,
,00:01:42,71,,,,,,,,,
,00:01:43,70,,,,,,,,,
,00:01:44,70,,,,,,,,,
,00:01:45,70,,,,,,,,,
,00:01:46,70,,,,,,,,,
,00:01:47,69,,,,,,,,,
,00:01:48,68,,,,,,,,,
,00:01:49,68,,,,,,,,,
,00:01:50,68,,,,,,,,,
,00:01:51,68,,,,,,,,,
,00:01:52,70,,,,,,,,,
,00:01:53,70,,,,,,,,,
,00:01:54,71,,,,,,,,,
,00:01:55,74,,,,,,,,,
,00:01:56,75,,,,,,,,,
,00:01:57,77,,,,,,,,,
,00:01:58,78,,,,,,,,,
,00:01:59,80,,,,,,,,,
,00:02:00,81,,,,,,,,,
,00:02:01,82,,,,,,,,,
,00:02:02,82,,,,,,,,,
,00:02:03,83,,,,,,,,,
,00:02:04,84,,,,,,,,,
,00:02:05,84,,,,,,,,,
,00:02:06,85,,,,,,,,,
,00:02:07,85,,,,,,,,,
,00:02:08,84,,,,,,,,,
,00:02:09,83,,,,,,,,,
,00:02:10,82,,,,,,,,,
,00:02:11,80,,,,,,,,,
,00:02:12,79,,,,,,,,,
,00:02:13,77,,,,,,,,,
,00:02:14,77,,,,,,,,,
,00:02:15,75,,,,,,,,,
,00:02:16,73,,,,,,,,,
