Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,23-12-2025,20:50:50,0:11:08,0.00,104,,,,,65,,,,,,,,,,"200 push ups
10 rounds of 20
time: 6:32min",None,None,126,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:02:40,89,,,,,,,,,
,00:02:41,89,,,,,,,,,
,00:02:42,90,,,,,,,,,
,00:02:43,90,,,,,,,,,
,00:02:44,91,,,,,,,,,
,00:02:45,91,,,,,,,,,
,00:02:46,91,,,,,,,,,
,00:02:47,91,,,,,,,,,
,00:02:48,91,,,,,,,,,
,00:02:49,91,,,,,,,,,
,00:02:50,91,,,,,,,,,
,00:02:51,91,,,,,,,,,
,00:02:52,92,,,,,,,,,
,00:02:53,93,,,,,,,,,
,00:02:54,98,,,,,,,,,
,00:02:55,106,,,,,,,,,
,00:02:56,109,,,,,,,,,
,00:02:57,110,,,,,,,,,
,00:02:58,110,,,,,,,,,
,00:02:59,110,,,,,,,,,
,00:03:00,109,,,,,,,,,
,00:03:01,105,,,,,,,,,
,00:03:02,102,,,,,,,,,
,00:03:03,101,,,,,,,,,
,00:03:04,101,,,,,,,,,
,00:03:05,101,,,,,,,,,
,00:03:06,102,,,,,,,,,
,00:03:07,101,,,,,,,,,
,00:03:08,101,,,,,,,,,
,00:03:09,101,,,,,,,,,
,00:03:10,102,,,,,,,,,
,00:03:11,103,,,,,,,,,
,00:03:12,104,,,,,,,,,
,00:03:13,105,,,,,,,,,
,00:03:14,106,,,,,,,,,
,00:03:15,107,,,,,,,,,
,00:03:16,107,,,,,,,,,
,00:03:17,108,,,,,,,,,
,00:03:18,108,,,,,,,,,
,00:03:19,108,,,,,,,,,
,00:03:20,108,,,,,,,,,
,00:03:21,108,,,,,,,,,
,00:03:22,108,,,,,,,,,
,00:03:23,109,,,,,,,,,
,00:03:24,109,,,,,,,,,
,00:03:25,110,,,,,,,,,
,00:03:26,111,,,,,,,,,
,00:03:27,112,,,,,,,,,
,00:03:28,113,,,,,,,,,
,00:03:29,114,,,,,,,,,
,00:03:30,114,,,,,,,,,
,00:03:31,115,,,,,,,,,
,00:03:32,115,,,,,,,,,
,00:03:33,115,,,,,,,,,
,00:03:34,116,,,,,,,,,
,00:03:35,117,,,,,,,,,
,00:03:36,117,,,,,,,,,
,00:03:37,117,,,,,,,,,
,00:03:38,116,,,,,,,,,
,00:03:39,115,,,,,,,,,
,00:03:40,114,,,,,,,,,
,00:03:41,112,,,,,,,,,
,00:03:42,110,,,,,,,,,
,00:03:43,108,,,,,,,,,
,00:03:44,107,,,,,,,,,
,00:03:45,105,,,,,,,,,
,00:03:46,104,,,,,,,,,
,00:03:47,104,,,,,,,,,
,00:03:48,104,,,,,,,,,
,00:03:49,104,,,,,,,,,
,00:03:50,105,,,,,,,,,
,00:03:51,105,,,,,,,,,
,00:03:52,104,,,,,,,,,
,00:03:53,104,,,,,,,,,
,00:03:54,101,,,,,,,,,
,00:03:55,100,,,,,,,,,
,00:03:56,100,,,,,,,,,
,00:03:57,99,,,,,,,,,
,00:03:58,99,,,,,,,,,
,00:03:59,99,,,,,,,,,
,00:04:00,101,,,,,,,,,
,00:04:01,101,,,,,,,,,
,00:04:02,105,,,,,,,,,
,00:04:03,107,,,,,,,,,
,00:04:04,110,,,,,,,,,
,00:04:05,110,,,,,,,,,
,00:04:06,110,,,,,,,,,
,00:04:07,111,,,,,,,,,
,00:04:08,111,,,,,,,,,
,00:04:09,112,,,,,,,,,
,00:04:10,113,,,,,,,,,
,00:04:11,114,,,,,,,,,
,00:04:12,115,,,,,,,,,
,00:04:13,116,,,,,,,,,
,00:04:14,116,,,,,,,,,
,00:04:15,116,,,,,,,,,
,00:04:16,115,,,,,,,,,
,00:04:17,115,,,,,,,,,
,00:04:18,115,,,,,,,,,
,00:04:19,115,,,,,,,,,
,00:04:20,113,,,,,,,,,
,00:04:21,113,,,,,,,,,
,00:04:22,111,,,,,,,,,
,00:04:23,110,,,,,,,,,
,00:04:24,108,,,,,,,,,
,00:04:25,107,,,,,,,,,
,00:04:26,107,,,,,,,,,
,00:04:27,108,,,,,,,,,
,00:04:28,108,,,,,,,,,
,00:04:29,108,,,,,,,,,
,00:04:30,108,,,,,,,,,
,00:04:31,107,,,,,,,,,
,00:04:32,106,,,,,,,,,
,00:04:33,105,,,,,,,,,
,00:04:34,105,,,,,,,,,
,00:04:35,105,,,,,,,,,
,00:04:36,104,,,,,,,,,
,00:04:37,104,,,,,,,,,
,00:04:38,104,,,,,,,,,
,00:04:39,104,,,,,,,,,
,00:04:40,102,,,,,,,,,
,00:04:41,101,,,,,,,,,
,00:04:42,102,,,,,,,,,
,00:04:43,104,,,,,,,,,
,00:04:44,107,,,,,,,,,
,00:04:45,107,,,,,,,,,
,00:04:46,109,,,,,,,,,
,00:04:47,109,,,,,,,,,
,00:04:48,111,,,,,,,,,
,00:04:49,112,,,,,,,,,
,00:04:50,113,,,,,,,,,
,00:04:51,113,,,,,,,,,
,00:04:52,114,,,,,,,,,
,00:04:53,115,,,,,,,,,
,00:04:54,116,,,,,,,,,
,00:04:55,117,,,,,,,,,
,00:04:56,118,,,,,,,,,
,00:04:57,118,,,,,,,,,
,00:04:58,117,,,,,,,,,
,00:04:59,117,,,,,,,,,
,00:05:00,116,,,,,,,,,
,00:05:01,115,,,,,,,,,
,00:05:02,115,,,,,,,,,
,00:05:03,114,,,,,,,,,
,00:05:04,113,,,,,,,,,
,00:05:05,111,,,,,,,,,
,00:05:06,110,,,,,,,,,
,00:05:07,109,,,,,,,,,
,00:05:08,107,,,,,,,,,
,00:05:09,106,,,,,,,,,
,00:05:10,106,,,,,,,,,
,00:05:11,106,,,,,,,,,
,00:05:12,107,,,,,,,,,
,00:05:13,108,,,,,,,,,
,00:05:14,109,,,,,,,,,
,00:05:15,109,,,,,,,,,
,00:05:16,110,,,,,,,,,
,00:05:17,110,,,,,,,,,
,00:05:18,110,,,,,,,,,
,00:05:19,110,,,,,,,,,
,00:05:20,110,,,,,,,,,
,00:05:21,108,,,,,,,,,
,00:05:22,107,,,,,,,,,
,00:05:23,106,,,,,,,,,
,00:05:24,109,,,,,,,,,
,00:05:25,109,,,,,,,,,
,00:05:26,111,,,,,,,,,
,00:05:27,112,,,,,,,,,
,00:05:28,112,,,,,,,,,
,00:05:29,114,,,,,,,,,
,00:05:30,117,,,,,,,,,
,00:05:31,117,,,,,,,,,
,00:05:32,117,,,,,,,,,
,00:05:33,118,,,,,,,,,
,00:05:34,118,,,,,,,,,
,00:05:35,118,,,,,,,,,
,00:05:36,119,,,,,,,,,
,00:05:37,120,,,,,,,,,
,00:05:38,121,,,,,,,,,
,00:05:39,121,,,,,,,,,
,00:05:40,121,,,,,,,,,
,00:05:41,122,,,,,,,,,
,00:05:42,122,,,,,,,,,
,00:05:43,122,,,,,,,,,
,00:05:44,123,,,,,,,,,
,00:05:45,122,,,,,,,,,
,00:05:46,120,,,,,,,,,
,00:05:47,118,,,,,,,,,
,00:05:48,116,,,,,,,,,
,00:05:49,115,,,,,,,,,
,00:05:50,114,,,,,,,,,
,00:05:51,112,,,,,,,,,
,00:05:52,110,,,,,,,,,
,00:05:53,110,,,,,,,,,
,00:05:54,109,,,,,,,,,
,00:05:55,109,,,,,,,,,
,00:05:56,108,,,,,,,,,
,00:05:57,108,,,,,,,,,
,00:05:58,109,,,,,,,,,
,00:05:59,109,,,,,,,,,
,00:06:00,109,,,,,,,,,
,00:06:01,108,,,,,,,,,
,00:06:02,107,,,,,,,,,
,00:06:03,108,,,,,,,,,
,00:06:04,109,,,,,,,,,
,00:06:05,110,,,,,,,,,
,00:06:06,110,,,,,,,,,
,00:06:07,110,,,,,,,,,
,00:06:08,110,,,,,,,,,
,00:06:09,111,,,,,,,,,
,00:06:10,112,,,,,,,,,
,00:06:11,113,,,,,,,,,
,00:06:12,113,,,,,,,,,
,00:06:13,115,,,,,,,,,
,00:06:14,116,,,,,,,,,
,00:06:15,117,,,,,,,,,
,00:06:16,119,,,,,,,,,
,00:06:17,120,,,,,,,,,
,00:06:18,120,,,,,,,,,
,00:06:19,120,,,,,,,,,
,00:06:20,121,,,,,,,,,
,00:06:21,122,,,,,,,,,
,00:06:22,124,,,,,,,,,
,00:06:23,125,,,,,,,,,
,00:06:24,125,,,,,,,,,
,00:06:25,125,,,,,,,,,
,00:06:26,125,,,,,,,,,
,00:06:27,124,,,,,,,,,
,00:06:28,123,,,,,,,,,
,00:06:29,121,,,,,,,,,
,00:06:30,119,,,,,,,,,
,00:06:31,116,,,,,,,,,
,00:06:32,114,,,,,,,,,
,00:06:33,113,,,,,,,,,
,00:06:34,113,,,,,,,,,
,00:06:35,112,,,,,,,,,
,00:06:36,111,,,,,,,,,
,00:06:37,111,,,,,,,,,
,00:06:38,110,,,,,,,,,
,00:06:39,111,,,,,,,,,
,00:06:40,111,,,,,,,,,
,00:06:41,113,,,,,,,,,
,00:06:42,114,,,,,,,,,
,00:06:43,114,,,,,,,,,
,00:06:44,114,,,,,,,,,
,00:06:45,114,,,,,,,,,
,00:06:46,114,,,,,,,,,
,00:06:47,113,,,,,,,,,
,00:06:48,113,,,,,,,,,
,00:06:49,113,,,,,,,,,
,00:06:50,113,,,,,,,,,
,00:06:51,113,,,,,,,,,
,00:06:52,113,,,,,,,,,
,00:06:53,114,,,,,,,,,
,00:06:54,115,,,,,,,,,
,00:06:55,117,,,,,,,,,
,00:06:56,118,,,,,,,,,
,00:06:57,120,,,,,,,,,
,00:06:58,120,,,,,,,,,
,00:06:59,122,,,,,,,,,
,00:07:00,122,,,,,,,,,
,00:07:01,123,,,,,,,,,
,00:07:02,125,,,,,,,,,
,00:07:03,126,,,,,,,,,
,00:07:04,126,,,,,,,,,
