Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,26-11-2025,10:29:57,0:09:22,0.00,114,,,,,69,,,,,,,,,,"30 sec Bulgarian split squats @ 22.5kg single db
30 sec rest 
30 sec turkish sit-ups @ 20kg plate
30 sec rest 

4 rounds",None,None,134,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:02:37,102,,,,,,,,,
,00:02:38,103,,,,,,,,,
,00:02:39,104,,,,,,,,,
,00:02:40,105,,,,,,,,,
,00:02:41,106,,,,,,,,,
,00:02:42,107,,,,,,,,,
,00:02:43,109,,,,,,,,,
,00:02:44,110,,,,,,,,,
,00:02:45,111,,,,,,,,,
,00:02:46,112,,,,,,,,,
,00:02:47,112,,,,,,,,,
,00:02:48,113,,,,,,,,,
,00:02:49,113,,,,,,,,,
,00:02:50,114,,,,,,,,,
,00:02:51,115,,,,,,,,,
,00:02:52,117,,,,,,,,,
,00:02:53,118,,,,,,,,,
,00:02:54,119,,,,,,,,,
,00:02:55,119,,,,,,,,,
,00:02:56,120,,,,,,,,,
,00:02:57,121,,,,,,,,,
,00:02:58,121,,,,,,,,,
,00:02:59,122,,,,,,,,,
,00:03:00,122,,,,,,,,,
,00:03:01,123,,,,,,,,,
,00:03:02,123,,,,,,,,,
,00:03:03,124,,,,,,,,,
,00:03:04,124,,,,,,,,,
,00:03:05,125,,,,,,,,,
,00:03:06,126,,,,,,,,,
,00:03:07,127,,,,,,,,,
,00:03:08,128,,,,,,,,,
,00:03:09,128,,,,,,,,,
,00:03:10,129,,,,,,,,,
,00:03:11,129,,,,,,,,,
,00:03:12,130,,,,,,,,,
,00:03:13,131,,,,,,,,,
,00:03:14,131,,,,,,,,,
,00:03:15,132,,,,,,,,,
,00:03:16,132,,,,,,,,,
,00:03:17,133,,,,,,,,,
,00:03:18,133,,,,,,,,,
,00:03:19,133,,,,,,,,,
,00:03:20,133,,,,,,,,,
,00:03:21,133,,,,,,,,,
,00:03:22,132,,,,,,,,,
,00:03:23,132,,,,,,,,,
,00:03:24,131,,,,,,,,,
,00:03:25,130,,,,,,,,,
,00:03:26,128,,,,,,,,,
,00:03:27,128,,,,,,,,,
,00:03:28,127,,,,,,,,,
,00:03:29,127,,,,,,,,,
,00:03:30,127,,,,,,,,,
,00:03:31,127,,,,,,,,,
,00:03:32,127,,,,,,,,,
,00:03:33,123,,,,,,,,,
,00:03:34,121,,,,,,,,,
,00:03:35,119,,,,,,,,,
,00:03:36,117,,,,,,,,,
,00:03:37,116,,,,,,,,,
,00:03:38,115,,,,,,,,,
,00:03:39,116,,,,,,,,,
,00:03:40,116,,,,,,,,,
,00:03:41,116,,,,,,,,,
,00:03:42,116,,,,,,,,,
,00:03:43,117,,,,,,,,,
,00:03:44,117,,,,,,,,,
,00:03:45,117,,,,,,,,,
,00:03:46,114,,,,,,,,,
,00:03:47,113,,,,,,,,,
,00:03:48,112,,,,,,,,,
,00:03:49,113,,,,,,,,,
,00:03:50,114,,,,,,,,,
,00:03:51,115,,,,,,,,,
,00:03:52,115,,,,,,,,,
,00:03:53,115,,,,,,,,,
,00:03:54,116,,,,,,,,,
,00:03:55,117,,,,,,,,,
,00:03:56,118,,,,,,,,,
,00:03:57,120,,,,,,,,,
,00:03:58,121,,,,,,,,,
,00:03:59,123,,,,,,,,,
,00:04:00,123,,,,,,,,,
,00:04:01,123,,,,,,,,,
,00:04:02,124,,,,,,,,,
,00:04:03,124,,,,,,,,,
,00:04:04,123,,,,,,,,,
,00:04:05,122,,,,,,,,,
,00:04:06,122,,,,,,,,,
,00:04:07,122,,,,,,,,,
,00:04:08,123,,,,,,,,,
,00:04:09,123,,,,,,,,,
,00:04:10,123,,,,,,,,,
,00:04:11,122,,,,,,,,,
,00:04:12,122,,,,,,,,,
,00:04:13,123,,,,,,,,,
,00:04:14,123,,,,,,,,,
,00:04:15,122,,,,,,,,,
,00:04:16,122,,,,,,,,,
,00:04:17,121,,,,,,,,,
,00:04:18,121,,,,,,,,,
,00:04:19,120,,,,,,,,,
,00:04:20,120,,,,,,,,,
,00:04:21,119,,,,,,,,,
,00:04:22,118,,,,,,,,,
,00:04:23,116,,,,,,,,,
,00:04:24,115,,,,,,,,,
,00:04:25,113,,,,,,,,,
,00:04:26,112,,,,,,,,,
,00:04:27,111,,,,,,,,,
,00:04:28,109,,,,,,,,,
,00:04:29,107,,,,,,,,,
,00:04:30,105,,,,,,,,,
,00:04:31,105,,,,,,,,,
,00:04:32,105,,,,,,,,,
,00:04:33,104,,,,,,,,,
,00:04:34,103,,,,,,,,,
,00:04:35,103,,,,,,,,,
,00:04:36,103,,,,,,,,,
,00:04:37,103,,,,,,,,,
,00:04:38,103,,,,,,,,,
,00:04:39,105,,,,,,,,,
,00:04:40,106,,,,,,,,,
,00:04:41,107,,,,,,,,,
,00:04:42,108,,,,,,,,,
,00:04:43,110,,,,,,,,,
,00:04:44,111,,,,,,,,,
,00:04:45,112,,,,,,,,,
