Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov ,BOOTCAMP,24-07-2025,10:38:45,00:09:50,,123,,,,,100,,,,,,,,,,"4 rounds (12 min emom)
20 sec Chinese hold
50 sec sand bag hold @ 68kg
50 sec kb @ 28kg bench row",175.0,78.0,188,55,58,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:02:37,123,,,,,,,,,
,00:02:38,124,,,,,,,,,
,00:02:39,124,,,,,,,,,
,00:02:40,124,,,,,,,,,
,00:02:41,124,,,,,,,,,
,00:02:42,124,,,,,,,,,
,00:02:43,124,,,,,,,,,
,00:02:44,124,,,,,,,,,
,00:02:45,124,,,,,,,,,
,00:02:46,124,,,,,,,,,
,00:02:47,126,,,,,,,,,
,00:02:48,126,,,,,,,,,
,00:02:49,126,,,,,,,,,
,00:02:50,130,,,,,,,,,
,00:02:51,130,,,,,,,,,
,00:02:52,130,,,,,,,,,
,00:02:53,131,,,,,,,,,
,00:02:54,132,,,,,,,,,
,00:02:55,132,,,,,,,,,
,00:02:56,133,,,,,,,,,
,00:02:57,132,,,,,,,,,
,00:02:58,132,,,,,,,,,
,00:02:59,130,,,,,,,,,
,00:03:00,128,,,,,,,,,
,00:03:01,128,,,,,,,,,
,00:03:02,125,,,,,,,,,
,00:03:03,125,,,,,,,,,
,00:03:04,123,,,,,,,,,
,00:03:05,121,,,,,,,,,
,00:03:06,121,,,,,,,,,
,00:03:07,119,,,,,,,,,
,00:03:08,119,,,,,,,,,
,00:03:09,119,,,,,,,,,
,00:03:10,120,,,,,,,,,
,00:03:11,120,,,,,,,,,
,00:03:12,119,,,,,,,,,
,00:03:13,119,,,,,,,,,
,00:03:14,116,,,,,,,,,
,00:03:15,116,,,,,,,,,
,00:03:16,115,,,,,,,,,
,00:03:17,115,,,,,,,,,
,00:03:18,115,,,,,,,,,
,00:03:19,115,,,,,,,,,
,00:03:20,114,,,,,,,,,
,00:03:21,114,,,,,,,,,
,00:03:22,114,,,,,,,,,
,00:03:23,114,,,,,,,,,
,00:03:24,113,,,,,,,,,
,00:03:25,113,,,,,,,,,
,00:03:26,115,,,,,,,,,
,00:03:27,116,,,,,,,,,
,00:03:28,116,,,,,,,,,
,00:03:29,117,,,,,,,,,
,00:03:30,118,,,,,,,,,
,00:03:31,118,,,,,,,,,
,00:03:32,116,,,,,,,,,
,00:03:33,116,,,,,,,,,
,00:03:34,116,,,,,,,,,
,00:03:35,115,,,,,,,,,
,00:03:36,115,,,,,,,,,
,00:03:37,114,,,,,,,,,
,00:03:38,114,,,,,,,,,
,00:03:39,114,,,,,,,,,
,00:03:40,114,,,,,,,,,
,00:03:41,114,,,,,,,,,
,00:03:42,114,,,,,,,,,
,00:03:43,114,,,,,,,,,
,00:03:44,114,,,,,,,,,
,00:03:45,116,,,,,,,,,
,00:03:46,116,,,,,,,,,
,00:03:47,116,,,,,,,,,
,00:03:48,121,,,,,,,,,
,00:03:49,121,,,,,,,,,
,00:03:50,121,,,,,,,,,
,00:03:51,122,,,,,,,,,
,00:03:52,122,,,,,,,,,
,00:03:53,122,,,,,,,,,
,00:03:54,123,,,,,,,,,
,00:03:55,123,,,,,,,,,
,00:03:56,124,,,,,,,,,
,00:03:57,124,,,,,,,,,
,00:03:58,124,,,,,,,,,
,00:03:59,125,,,,,,,,,
,00:04:00,125,,,,,,,,,
,00:04:01,125,,,,,,,,,
,00:04:02,125,,,,,,,,,
,00:04:03,127,,,,,,,,,
,00:04:04,127,,,,,,,,,
,00:04:05,127,,,,,,,,,
,00:04:06,127,,,,,,,,,
,00:04:07,128,,,,,,,,,
,00:04:08,128,,,,,,,,,
,00:04:09,128,,,,,,,,,
,00:04:10,129,,,,,,,,,
,00:04:11,129,,,,,,,,,
,00:04:12,129,,,,,,,,,
,00:04:13,130,,,,,,,,,
,00:04:14,130,,,,,,,,,
,00:04:15,130,,,,,,,,,
,00:04:16,131,,,,,,,,,
,00:04:17,131,,,,,,,,,
,00:04:18,131,,,,,,,,,
,00:04:19,131,,,,,,,,,
,00:04:20,131,,,,,,,,,
,00:04:21,131,,,,,,,,,
,00:04:22,131,,,,,,,,,
,00:04:23,131,,,,,,,,,
,00:04:24,131,,,,,,,,,
,00:04:25,131,,,,,,,,,
,00:04:26,132,,,,,,,,,
,00:04:27,132,,,,,,,,,
,00:04:28,132,,,,,,,,,
,00:04:29,132,,,,,,,,,
,00:04:30,131,,,,,,,,,
,00:04:31,131,,,,,,,,,
,00:04:32,131,,,,,,,,,
,00:04:33,130,,,,,,,,,
,00:04:34,130,,,,,,,,,
,00:04:35,127,,,,,,,,,
,00:04:36,126,,,,,,,,,
,00:04:37,125,,,,,,,,,
,00:04:38,124,,,,,,,,,
,00:04:39,124,,,,,,,,,
,00:04:40,123,,,,,,,,,
,00:04:41,123,,,,,,,,,
,00:04:42,123,,,,,,,,,
,00:04:43,124,,,,,,,,,
,00:04:44,125,,,,,,,,,
,00:04:45,125,,,,,,,,,
,00:04:46,125,,,,,,,,,
,00:04:47,125,,,,,,,,,
,00:04:48,125,,,,,,,,,
,00:04:49,125,,,,,,,,,
,00:04:50,126,,,,,,,,,
,00:04:51,127,,,,,,,,,
,00:04:52,128,,,,,,,,,
,00:04:53,128,,,,,,,,,
,00:04:54,128,,,,,,,,,
,00:04:55,129,,,,,,,,,
,00:04:56,129,,,,,,,,,
,00:04:57,130,,,,,,,,,
,00:04:58,130,,,,,,,,,
,00:04:59,131,,,,,,,,,
,00:05:00,131,,,,,,,,,
,00:05:01,131,,,,,,,,,
,00:05:02,131,,,,,,,,,
,00:05:03,131,,,,,,,,,
,00:05:04,129,,,,,,,,,
,00:05:05,127,,,,,,,,,
,00:05:06,126,,,,,,,,,
,00:05:07,126,,,,,,,,,
,00:05:08,123,,,,,,,,,
,00:05:09,123,,,,,,,,,
,00:05:10,123,,,,,,,,,
,00:05:11,124,,,,,,,,,
,00:05:12,124,,,,,,,,,
,00:05:13,125,,,,,,,,,
,00:05:14,127,,,,,,,,,
,00:05:15,127,,,,,,,,,
,00:05:16,128,,,,,,,,,
,00:05:17,128,,,,,,,,,
,00:05:18,129,,,,,,,,,
,00:05:19,129,,,,,,,,,
,00:05:20,130,,,,,,,,,
,00:05:21,130,,,,,,,,,
,00:05:22,130,,,,,,,,,
,00:05:23,130,,,,,,,,,
,00:05:24,130,,,,,,,,,
,00:05:25,130,,,,,,,,,
,00:05:26,130,,,,,,,,,
,00:05:27,128,,,,,,,,,
,00:05:28,128,,,,,,,,,
,00:05:29,127,,,,,,,,,
,00:05:30,127,,,,,,,,,
,00:05:31,127,,,,,,,,,
,00:05:32,125,,,,,,,,,
,00:05:33,125,,,,,,,,,
,00:05:34,123,,,,,,,,,
,00:05:35,123,,,,,,,,,
,00:05:36,123,,,,,,,,,
,00:05:37,123,,,,,,,,,
,00:05:38,123,,,,,,,,,
,00:05:39,124,,,,,,,,,
,00:05:40,124,,,,,,,,,
,00:05:41,125,,,,,,,,,
,00:05:42,125,,,,,,,,,
,00:05:43,126,,,,,,,,,
,00:05:44,127,,,,,,,,,
,00:05:45,127,,,,,,,,,
,00:05:46,127,,,,,,,,,
,00:05:47,127,,,,,,,,,
,00:05:48,129,,,,,,,,,
,00:05:49,129,,,,,,,,,
,00:05:50,129,,,,,,,,,
,00:05:51,129,,,,,,,,,
,00:05:52,132,,,,,,,,,
,00:05:53,132,,,,,,,,,
,00:05:54,132,,,,,,,,,
,00:05:55,136,,,,,,,,,
,00:05:56,136,,,,,,,,,
,00:05:57,139,,,,,,,,,
,00:05:58,139,,,,,,,,,
,00:05:59,139,,,,,,,,,
,00:06:00,138,,,,,,,,,
,00:06:01,138,,,,,,,,,
,00:06:02,136,,,,,,,,,
,00:06:03,135,,,,,,,,,
,00:06:04,134,,,,,,,,,
,00:06:05,134,,,,,,,,,
,00:06:06,131,,,,,,,,,
,00:06:07,131,,,,,,,,,
,00:06:08,130,,,,,,,,,
,00:06:09,130,,,,,,,,,
,00:06:10,128,,,,,,,,,
,00:06:11,126,,,,,,,,,
,00:06:12,126,,,,,,,,,
,00:06:13,125,,,,,,,,,
,00:06:14,125,,,,,,,,,
,00:06:15,125,,,,,,,,,
,00:06:16,123,,,,,,,,,
,00:06:17,123,,,,,,,,,
,00:06:18,120,,,,,,,,,
,00:06:19,120,,,,,,,,,
,00:06:20,121,,,,,,,,,
,00:06:21,121,,,,,,,,,
,00:06:22,123,,,,,,,,,
,00:06:23,124,,,,,,,,,
,00:06:24,124,,,,,,,,,
,00:06:25,124,,,,,,,,,
,00:06:26,123,,,,,,,,,
,00:06:27,123,,,,,,,,,
,00:06:28,122,,,,,,,,,
,00:06:29,122,,,,,,,,,
,00:06:30,122,,,,,,,,,
,00:06:31,123,,,,,,,,,
,00:06:32,123,,,,,,,,,
,00:06:33,123,,,,,,,,,
,00:06:34,122,,,,,,,,,
,00:06:35,122,,,,,,,,,
,00:06:36,122,,,,,,,,,
,00:06:37,122,,,,,,,,,
,00:06:38,120,,,,,,,,,
,00:06:39,125,,,,,,,,,
,00:06:40,125,,,,,,,,,
,00:06:41,125,,,,,,,,,
,00:06:42,128,,,,,,,,,
,00:06:43,128,,,,,,,,,
,00:06:44,128,,,,,,,,,
,00:06:45,129,,,,,,,,,
,00:06:46,129,,,,,,,,,
,00:06:47,130,,,,,,,,,
,00:06:48,130,,,,,,,,,
,00:06:49,130,,,,,,,,,
,00:06:50,129,,,,,,,,,
,00:06:51,128,,,,,,,,,
,00:06:52,128,,,,,,,,,
,00:06:53,128,,,,,,,,,
,00:06:54,129,,,,,,,,,
,00:06:55,129,,,,,,,,,
,00:06:56,130,,,,,,,,,
,00:06:57,130,,,,,,,,,
,00:06:58,130,,,,,,,,,
,00:06:59,132,,,,,,,,,
,00:07:00,132,,,,,,,,,
,00:07:01,132,,,,,,,,,
,00:07:02,133,,,,,,,,,
,00:07:03,133,,,,,,,,,
,00:07:04,133,,,,,,,,,
,00:07:05,133,,,,,,,,,
,00:07:06,133,,,,,,,,,
,00:07:07,133,,,,,,,,,
,00:07:08,133,,,,,,,,,
,00:07:09,132,,,,,,,,,
,00:07:10,132,,,,,,,,,
,00:07:11,132,,,,,,,,,
,00:07:12,131,,,,,,,,,
,00:07:13,131,,,,,,,,,
,00:07:14,132,,,,,,,,,
,00:07:15,132,,,,,,,,,
,00:07:16,132,,,,,,,,,
,00:07:17,132,,,,,,,,,
,00:07:18,133,,,,,,,,,
,00:07:19,133,,,,,,,,,
,00:07:20,133,,,,,,,,,
,00:07:21,132,,,,,,,,,
,00:07:22,132,,,,,,,,,
,00:07:23,132,,,,,,,,,
,00:07:24,133,,,,,,,,,
,00:07:25,133,,,,,,,,,
,00:07:26,133,,,,,,,,,
,00:07:27,133,,,,,,,,,
,00:07:28,133,,,,,,,,,
,00:07:29,133,,,,,,,,,
,00:07:30,133,,,,,,,,,
,00:07:31,133,,,,,,,,,
,00:07:32,133,,,,,,,,,
,00:07:33,133,,,,,,,,,
,00:07:34,133,,,,,,,,,
,00:07:35,133,,,,,,,,,
,00:07:36,133,,,,,,,,,
,00:07:37,133,,,,,,,,,
,00:07:38,127,,,,,,,,,
,00:07:39,127,,,,,,,,,
,00:07:40,126,,,,,,,,,
,00:07:41,126,,,,,,,,,
,00:07:42,126,,,,,,,,,
,00:07:43,127,,,,,,,,,
,00:07:44,127,,,,,,,,,
,00:07:45,128,,,,,,,,,
,00:07:46,128,,,,,,,,,
,00:07:47,128,,,,,,,,,
,00:07:48,129,,,,,,,,,
,00:07:49,129,,,,,,,,,
,00:07:50,129,,,,,,,,,
,00:07:51,129,,,,,,,,,
,00:07:52,130,,,,,,,,,
,00:07:53,130,,,,,,,,,
,00:07:54,131,,,,,,,,,
,00:07:55,131,,,,,,,,,
,00:07:56,131,,,,,,,,,
,00:07:57,131,,,,,,,,,
,00:07:58,131,,,,,,,,,
,00:07:59,131,,,,,,,,,
,00:08:00,132,,,,,,,,,
,00:08:01,132,,,,,,,,,
,00:08:02,131,,,,,,,,,
,00:08:03,131,,,,,,,,,
,00:08:04,131,,,,,,,,,
,00:08:05,129,,,,,,,,,
,00:08:06,129,,,,,,,,,
,00:08:07,128,,,,,,,,,
,00:08:08,127,,,,,,,,,
,00:08:09,125,,,,,,,,,
,00:08:10,123,,,,,,,,,
,00:08:11,123,,,,,,,,,
,00:08:12,123,,,,,,,,,
,00:08:13,124,,,,,,,,,
,00:08:14,125,,,,,,,,,
,00:08:15,125,,,,,,,,,
,00:08:16,128,,,,,,,,,
,00:08:17,128,,,,,,,,,
,00:08:18,130,,,,,,,,,
,00:08:19,132,,,,,,,,,
,00:08:20,132,,,,,,,,,
,00:08:21,133,,,,,,,,,
,00:08:22,134,,,,,,,,,
,00:08:23,134,,,,,,,,,
,00:08:24,134,,,,,,,,,
,00:08:25,134,,,,,,,,,
,00:08:26,134,,,,,,,,,
,00:08:27,134,,,,,,,,,
,00:08:28,134,,,,,,,,,
,00:08:29,134,,,,,,,,,
,00:08:30,134,,,,,,,,,
,00:08:31,134,,,,,,,,,
,00:08:32,132,,,,,,,,,
,00:08:33,131,,,,,,,,,
,00:08:34,131,,,,,,,,,
,00:08:35,129,,,,,,,,,
,00:08:36,128,,,,,,,,,
,00:08:37,128,,,,,,,,,
,00:08:38,128,,,,,,,,,
,00:08:39,128,,,,,,,,,
,00:08:40,129,,,,,,,,,
,00:08:41,129,,,,,,,,,
,00:08:42,130,,,,,,,,,
,00:08:43,130,,,,,,,,,
,00:08:44,131,,,,,,,,,
,00:08:45,131,,,,,,,,,
,00:08:46,130,,,,,,,,,
,00:08:47,130,,,,,,,,,
,00:08:48,130,,,,,,,,,
,00:08:49,129,,,,,,,,,
,00:08:50,129,,,,,,,,,
,00:08:51,125,,,,,,,,,
,00:08:52,124,,,,,,,,,
,00:08:53,124,,,,,,,,,
,00:08:54,125,,,,,,,,,
,00:08:55,125,,,,,,,,,
,00:08:56,125,,,,,,,,,
,00:08:57,127,,,,,,,,,
,00:08:58,127,,,,,,,,,
,00:08:59,126,,,,,,,,,
,00:09:00,125,,,,,,,,,
,00:09:01,125,,,,,,,,,
,00:09:02,122,,,,,,,,,
,00:09:03,120,,,,,,,,,
,00:09:04,120,,,,,,,,,
,00:09:05,120,,,,,,,,,
,00:09:06,122,,,,,,,,,
,00:09:07,122,,,,,,,,,
,00:09:08,125,,,,,,,,,
,00:09:09,125,,,,,,,,,
,00:09:10,125,,,,,,,,,
,00:09:11,125,,,,,,,,,
,00:09:12,125,,,,,,,,,
,00:09:13,126,,,,,,,,,
,00:09:14,126,,,,,,,,,
,00:09:15,126,,,,,,,,,
,00:09:16,127,,,,,,,,,
,00:09:17,128,,,,,,,,,
,00:09:18,128,,,,,,,,,
,00:09:19,128,,,,,,,,,
,00:09:20,128,,,,,,,,,
,00:09:21,128,,,,,,,,,
,00:09:22,128,,,,,,,,,
,00:09:23,128,,,,,,,,,
,00:09:24,128,,,,,,,,,
,00:09:25,127,,,,,,,,,
,00:09:26,125,,,,,,,,,
,00:09:27,124,,,,,,,,,
,00:09:28,124,,,,,,,,,
,00:09:29,123,,,,,,,,,
,00:09:30,121,,,,,,,,,
,00:09:31,121,,,,,,,,,
,00:09:32,120,,,,,,,,,
,00:09:33,118,,,,,,,,,
,00:09:34,118,,,,,,,,,
,00:09:35,114,,,,,,,,,
,00:09:36,114,,,,,,,,,
,00:09:37,114,,,,,,,,,
,00:09:38,116,,,,,,,,,
,00:09:39,117,,,,,,,,,
,00:09:40,117,,,,,,,,,
,00:09:41,117,,,,,,,,,
,00:09:42,117,,,,,,,,,
,00:09:43,117,,,,,,,,,
,00:09:44,118,,,,,,,,,
,00:09:45,118,,,,,,,,,
,00:09:46,118,,,,,,,,,
,00:09:47,118,,,,,,,,,
,00:09:48,116,,,,,,,,,
,00:09:49,116,,,,,,,,,
,00:09:50,112,,,,,,,,,
